Journal of Theoretical Biology;J. Theor. Biol.
Nature Materials;Nat. Mater.
Nature;Nature
Nature Methods;Nat. Methods
Science;Science
Nanoscale;Nanoscale
Nature Nanotechnology;Nat. Nanotechnol.
Nature Communications;Nat. Commun.
Nature communications;Nat. Commun.
Chemical Communications;Chem. Commun.
Trends in Biotechnology;Trends Biotechnol.
The Journal of Chemical Physics;J. Chem. Phys.
Europhysics Letters;Europhys. Lett.
Journal of the American Chemical Society;J. Am. Chem. Soc.
Frontiers in Life Science;Front. Life Sci.
ACS Nano;ACS Nano
Physical Review Letters;Phys. Rev. Lett.
Proceedings of the National Academy of Sciences;Proc. Natl. Acad. Sci. U. S. A.
Proceedings of the National Academy of Sciences of the United States of America;Proc. Natl. Acad. Sci. U. S. A.
Soft Matter;Soft Matter
Journal of Molecular Biology;J. Mol. Biol.
Nucleic Acids Research;Nucleic Acids Res.
Molecular Physics;Mol. Phys.
Journal of Chemical Theory and Computation;J. Chem. Theory Comput.
Annual Review of Biophysics and Biomolecular Structure;Annu. Rev. Biophys. Biomol. Struct.
Annual Review of Biochemistry;Annu. Rev. Biochem.
ChemBioChem;ChemBioChem
Current Opinion in Chemical Biology;Curr. Opin. Chem. Biol.
Current Opinion in Structural Biology;Curr. Opin. Struct. Biol.
Materials Today;Mater. Today
Current Opinion in Chemical Engineering;Curr. Opin. Chem. Eng.
Biomaterials Science;Biomater. Sci.
Current Opinion in Biotechnology;Curr. Opin. Biotechnol.
Wiley Interdisciplinary Reviews: Nanomedicine and Nanobiotechnology;Wiley Interdiscip. Rev.: Nanomed. Nanobiotechnol.
Chemical Society Reviews;Chem. Soc. Rev.
Materials Letters;Mater. Lett.
Angewandte Chemie International Edition;Angew. Chem., Int. Ed.
Journal of Physics: Condensed Matter;J. Phys.: Condens. Matter
Physical Chemistry Chemical Physics;Phys. Chem. Chem. Phys.
Polymers;Polymers
Journal of Physical Chemistry B;J. Phys. Chem. B
The Journal of Physical Chemistry B;J. Phys. Chem. B
Biophysics;Biophysics
Physical Review E;Phys. Rev. E
Chemical Physics Letters;Chem. Phys. Lett.
Biophysical Journal;Biophys. J.
Computer Physics Communications;Comput. Phys. Commun.
Philosophical Transactions of the Royal Society A;Philos. Trans. R. Soc., A
Journal of Statistical Mechanics: Theory and Experiment;J. Stat. Mech.: Theory Exp.
